n,method,repeat,seconds,exit_status,sha256,command
100,naive,1,0.063,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force naive --n 100 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n100-naive-1"
100,naive,2,0.061,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force naive --n 100 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n100-naive-2"
100,naive,3,0.062,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force naive --n 100 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n100-naive-3"
100,cells,1,0.047,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force cells --n 100 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n100-cells-1"
100,cells,2,0.044,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force cells --n 100 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n100-cells-2"
100,cells,3,0.045,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force cells --n 100 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n100-cells-3"
400,naive,1,0.946,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force naive --n 400 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n400-naive-1"
400,naive,2,0.950,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force naive --n 400 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n400-naive-2"
400,naive,3,0.947,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force naive --n 400 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n400-naive-3"
400,cells,1,0.174,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force cells --n 400 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n400-cells-1"
400,cells,2,0.171,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force cells --n 400 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n400-cells-2"
400,cells,3,0.174,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force cells --n 400 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n400-cells-3"
1600,naive,1,14.822,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force naive --n 1600 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n1600-naive-1"
1600,naive,2,14.761,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force naive --n 1600 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n1600-naive-2"
1600,naive,3,15.231,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force naive --n 1600 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n1600-naive-3"
1600,cells,1,0.750,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force cells --n 1600 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n1600-cells-1"
1600,cells,2,0.749,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force cells --n 1600 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n1600-cells-2"
1600,cells,3,0.753,0,976c0deb0298ede42512fb3b79002de3fceaa86779def41e75b9f90a81ebec91,"/home/mengjun/.cargo/bin/md run --force cells --n 1600 --eq-steps 100 --steps 500 --out /tmp/md-scaling-benchmark/n1600-cells-3"
